R,b,Fij
5.0,0.0,0.11615397215555609
5.0,0.22613065326633167,0.11811802732102149
5.0,0.45226130653266333,0.12007983442304934
5.0,0.678391959798995,0.12203797163377084
5.0,0.9045226130653267,0.1239910269533504
5.0,1.1306532663316584,0.12593760265474208
5.0,1.35678391959799,0.12787631962454932
5.0,1.5829145728643217,0.12980582156882836
5.0,1.8090452261306533,0.13172477905612692
5.0,2.035175879396985,0.13363189337087172
5.0,2.261306532663317,0.13552590015264693
5.0,2.4874371859296485,0.13740557280039764
5.0,2.71356783919598,0.13926972562184417
5.0,2.9396984924623117,0.14111721671271898
5.0,3.1658291457286434,0.14294695055239093
5.0,3.391959798994975,0.14475788030640066
5.0,3.6180904522613067,0.14654900982851607
5.0,3.8442211055276383,0.14831939535913422
5.0,4.07035175879397,0.15006814691855458
5.0,4.296482412060302,0.15179442939772203
5.0,4.522613065326634,0.1534974633504886
5.0,4.748743718592965,0.1551765254948689
5.0,4.974874371859297,0.15683094893264662
5.0,5.201005025125628,0.158460123098729
5.0,5.42713567839196,0.1600634934528901
5.0,5.653266331658291,0.16164056092974588
5.0,5.8793969849246235,0.16319088116149663
5.0,6.105527638190955,0.16471406349140508
5.0,6.331658291457287,0.16620976979522467
5.0,6.557788944723618,0.16767771312860133
5.0,6.78391959798995,0.16911765621909008
5.0,7.010050251256281,0.17052940982116752
5.0,7.236180904522613,0.1719128309522616
5.0,7.462311557788945,0.17326782102803062
5.0,7.688442211055277,0.1745943239140701
5.0,7.914572864321609,0.1758923239109651
5.0,8.14070351758794,0.1771618436885982
5.0,8.366834170854272,0.17840294218487182
5.0,8.592964824120603,0.17961571248325767
5.0,8.819095477386934,0.18080027968207943
5.0,9.045226130653267,0.18195679876806276
5.0,9.271356783919598,0.18308545250506325
5.0,9.49748743718593,0.1841864493482697
5.0,9.72361809045226,0.18526002139281755
5.0,9.949748743718594,0.18630642236468478
5.0,10.175879396984925,0.18732592566126993
5.0,10.402010050251256,0.18831882244720485
5.0,10.628140703517587,0.18928541981075428
5.0,10.85427135678392,0.19022603898505874
5.0,11.080402010050252,0.19114101363740102
5.0,11.306532663316583,0.19203068822919925
5.0,11.532663316582916,0.19289541644878833
5.0,11.758793969849247,0.1937355597177432
5.0,11.984924623115578,0.19455148577200784
5.0,12.21105527638191,0.19534356731742797
5.0,12.437185929648242,0.19611218075947512
5.0,12.663316582914574,0.19685770500638633
5.0,12.889447236180905,0.19758052034445903
5.0,13.115577889447236,0.19828100738395668
5.0,13.341708542713569,0.19895954607388094
5.0,13.5678391959799,0.19961651478351997
5.0,13.793969849246231,0.2002522894485848
5.0,14.020100502512562,0.20086724277948234
5.0,14.246231155778895,0.20146174352927015
5.0,14.472361809045227,0.2020361558186631
5.0,14.698492462311558,0.20259083851535126
5.0,14.92462311557789,0.20312614466512138
5.0,15.150753768844222,0.2036424209718511
5.0,15.376884422110553,0.20414000732365226
5.0,15.603015075376884,0.2046192363627613
5.0,15.829145728643217,0.20508043309610982
5.0,16.055276381909547,0.20552391454436908
5.0,16.28140703517588,0.20594998942650083
5.0,16.507537688442213,0.2063589578778201
5.0,16.733668341708544,0.20675111119869727
5.0,16.959798994974875,0.20712673163201167
5.0,17.185929648241206,0.20748609216669814
5.0,17.412060301507537,0.2078294563657772
5.0,17.63819095477387,0.20815707821624052
5.0,17.8643216080402,0.20846920199943966
5.0,18.090452261306535,0.20876606217962976
5.0,18.316582914572866,0.20904788330917645
5.0,18.542713567839197,0.20931487994886758
5.0,18.768844221105528,0.20956725660140602
5.0,18.99497487437186,0.2098052076570909
5.0,19.22110552763819,0.21002891734977996
5.0,19.44723618090452,0.21023855972244898
5.0,19.673366834170857,0.21043429860054436
5.0,19.899497487437188,0.2106162875724963
5.0,20.12562814070352,0.21078466997604026
5.0,20.35175879396985,0.2109395788896618
5.0,20.57788944723618,0.21108113712791127
5.0,20.804020100502512,0.21120945724031204
5.0,21.030150753768844,0.21132464151259137
5.0,21.256281407035175,0.2114267819699086
5.0,21.48241206030151,0.21151596038148865
5.0,21.70854271356784,0.21159224826586462
5.0,21.934673366834172,0.2116557068966418
5.0,22.160804020100503,0.21170638730800986
5.0,22.386934673366834,0.2117443302999469
5.0,22.613065326633166,0.21176956644268355
5.0,22.839195979899497,0.21178211608026154
5.0,23.06532663316583,0.21178198933292358
5.0,23.291457286432163,0.21176918609849424
5.0,23.517587939698494,0.21174369605221174
5.0,23.743718592964825,0.21170549864556418
5.0,23.969849246231156,0.21165456310372285
5.0,24.195979899497488,0.21159084842213846
5.0,24.42211055276382,0.21151430336181834
5.0,24.64824120603015,0.2114248664443612
5.0,24.874371859296485,0.21132246594623855
5.0,25.100502512562816,0.21120701989320215
5.0,25.326633165829147,0.2110784360548787
5.0,25.55276381909548,0.21093661194030142
5.0,25.77889447236181,0.21078143479465875
5.0,26.00502512562814,0.2106127815981042
5.0,26.231155778894472,0.21043051906692248
5.0,26.457286432160807,0.21023450365822824
5.0,26.683417085427138,0.21002458157875106
5.0,26.90954773869347,0.20980058879840174
5.0,27.1356783919598,0.20956235107018764
5.0,27.36180904522613,0.20930968395670402
5.0,27.587939698492463,0.20904239286495807
5.0,27.814070351758794,0.20876027309049966
5.0,28.040201005025125,0.20846310987203517
5.0,28.26633165829146,0.20815067845810709
5.0,28.49246231155779,0.20782274418715507
