h,k,d,F
-41.83673469387755,-50.0,65,6.459086360199395e-07
-41.83673469387755,-50.0,70,6.20345849819361e-07
-41.83673469387755,-50.0,75,5.946200492163841e-07
-41.83673469387755,-50.0,80,5.690879335371141e-07
-39.79591836734694,-50.0,10,4.30064314516054e-07
-39.79591836734694,-50.0,15,6.118456449412384e-07
-39.79591836734694,-50.0,20,7.12003803219155e-07
-39.79591836734694,-50.0,25,7.619222570632934e-07
-39.79591836734694,-50.0,30,7.823858344562575e-07
-39.79591836734694,-50.0,35,7.850265326613938e-07
-39.79591836734694,-50.0,40,7.764273733981351e-07
-39.79591836734694,-50.0,45,7.60522880623931e-07
-39.79591836734694,-50.0,50,7.398147542861239e-07
-39.79591836734694,-50.0,55,7.159844761893678e-07
-39.79591836734694,-50.0,60,6.902125188377613e-07
-39.79591836734694,-50.0,65,6.633529872837949e-07
-39.79591836734694,-50.0,70,6.360348306600805e-07
-39.79591836734694,-50.0,75,6.087243091207975e-07
-39.79591836734694,-50.0,80,5.817660846044078e-07
-37.755102040816325,-50.0,10,4.494035024509327e-07
-37.755102040816325,-50.0,15,6.402123588411774e-07
-37.755102040816325,-50.0,20,7.444001128664277e-07
-37.755102040816325,-50.0,25,7.950045135203158e-07
-37.755102040816325,-50.0,30,8.143625754529713e-07
-37.755102040816325,-50.0,35,8.150476068993593e-07
-37.755102040816325,-50.0,40,8.041507580902638e-07
-37.755102040816325,-50.0,45,7.858711584586212e-07
-37.755102040816325,-50.0,50,7.628459809338223e-07
-37.755102040816325,-50.0,55,7.368240533823208e-07
-37.755102040816325,-50.0,60,7.090167336424216e-07
-37.755102040816325,-50.0,65,6.802891173037293e-07
-37.755102040816325,-50.0,70,6.512701250877822e-07
-37.755102040816325,-50.0,75,6.224198807569686e-07
-37.755102040816325,-50.0,80,5.940736166756916e-07
-35.714285714285715,-50.0,10,4.6544142671903457e-07
-35.714285714285715,-50.0,15,6.648315230254166e-07
-35.714285714285715,-50.0,20,7.735034143317546e-07
-35.714285714285715,-50.0,25,8.254478997966934e-07
-35.714285714285715,-50.0,30,8.442758535642522e-07
-35.714285714285715,-50.0,35,8.434475628508527e-07
-35.714285714285715,-50.0,40,8.305785700193821e-07
-35.714285714285715,-50.0,45,8.101615231142441e-07
-35.714285714285715,-50.0,50,7.849943120234803e-07
-35.714285714285715,-50.0,55,7.569119285851464e-07
-35.714285714285715,-50.0,60,7.27169861388095e-07
-35.714285714285715,-50.0,65,6.966533054048457e-07
-35.714285714285715,-50.0,70,6.65997361179078e-07
-35.714285714285715,-50.0,75,6.356602388464991e-07
-35.714285714285715,-50.0,80,6.059706197063685e-07
-33.673469387755105,-50.0,10,4.786795371659234e-07
-33.673469387755105,-50.0,15,6.860144595746122e-07
-33.673469387755105,-50.0,20,7.993966784528426e-07
-33.673469387755105,-50.0,25,8.532030291056926e-07
-33.673469387755105,-50.0,30,8.720212238606839e-07
-33.673469387755105,-50.0,35,8.701077753162465e-07
-33.673469387755105,-50.0,40,8.555960499409214e-07
-33.673469387755105,-50.0,45,8.332898131798838e-07
-33.673469387755105,-50.0,50,8.061678668352859e-07
-33.673469387755105,-50.0,55,7.761681148854181e-07
-33.673469387755105,-50.0,60,7.446026820742469e-07
-33.673469387755105,-50.0,65,7.123857962910126e-07
-33.673469387755105,-50.0,70,6.80164994557439e-07
-33.673469387755105,-50.0,75,6.484009212003766e-07
-33.673469387755105,-50.0,80,6.17418725922625e-07
-31.632653061224488,-50.0,10,4.895950603421072e-07
-31.632653061224488,-50.0,15,7.041381277127472e-07
-31.632653061224488,-50.0,20,8.222585968582582e-07
-31.632653061224488,-50.0,25,8.783038977436203e-07
-31.632653061224488,-50.0,30,8.975554277994924e-07
-31.632653061224488,-50.0,35,8.949516886139846e-07
-31.632653061224488,-50.0,40,8.791167480083435e-07
-31.632653061224488,-50.0,45,8.55170881286295e-07
-31.632653061224488,-50.0,50,8.262876325368436e-07
-31.632653061224488,-50.0,55,7.945214441467679e-07
-31.632653061224488,-50.0,60,7.612521153010699e-07
-31.632653061224488,-50.0,65,7.27431187090621e-07
-31.632653061224488,-50.0,70,6.937246288919168e-07
-31.632653061224488,-50.0,75,6.605997924379506e-07
-31.632653061224488,-50.0,80,6.283813268510592e-07
-29.591836734693878,-50.0,10,4.98605890648751e-07
-29.591836734693878,-50.0,15,7.195904984848093e-07
-29.591836734693878,-50.0,20,8.423230534932185e-07
-29.591836734693878,-50.0,25,9.008456190710963e-07
-29.591836734693878,-50.0,30,9.20885803291506e-07
-29.591836734693878,-50.0,35,9.179402306379921e-07
-29.591836734693878,-50.0,40,9.010807492781321e-07
-29.591836734693878,-50.0,45,8.757380675228674e-07
-29.591836734693878,-50.0,50,8.452874628863905e-07
-29.591836734693878,-50.0,55,8.119097670714672e-07
-29.591836734693878,-50.0,60,7.770614803691121e-07
-29.591836734693878,-50.0,65,7.417386883768837e-07
-29.591836734693878,-50.0,70,7.066312552162718e-07
-29.591836734693878,-50.0,75,6.722172548395009e-07
-29.591836734693878,-50.0,80,6.38823755543816e-07
-27.551020408163264,-50.0,10,5.060615669624009e-07
-27.551020408163264,-50.0,15,7.327383145644698e-07
-27.551020408163264,-50.0,20,8.598477200990532e-07
-27.551020408163264,-50.0,25,9.209637775344956e-07
-27.551020408163264,-50.0,30,9.420588889208763e-07
-27.551020408163264,-50.0,35,9.390660681705013e-07
-27.551020408163264,-50.0,40,9.214519566207432e-07
-27.551020408163264,-50.0,45,8.949420103502322e-07
-27.551020408163264,-50.0,50,8.631136353869888e-07
-27.551020408163264,-50.0,55,8.282798645114892e-07
-27.551020408163264,-50.0,60,7.919805683425273e-07
-27.551020408163264,-50.0,65,7.552622624293555e-07
-27.551020408163264,-50.0,70,7.188434106421167e-07
-27.551020408163264,-50.0,75,6.83216405868092e-07
-27.551020408163264,-50.0,80,6.487134332147794e-07
-25.51020408163265,-50.0,10,5.122469774046609e-07
-25.51020408163265,-50.0,15,7.439111002743339e-07
-25.51020408163265,-50.0,20,8.750920081209739e-07
-25.51020408163265,-50.0,25,9.388170197017053e-07
-25.51020408163265,-50.0,30,9.61149433438661e-07
-25.51020408163265,-50.0,35,9.58347381344452e-07
-25.51020408163265,-50.0,40,9.40214772938248e-07
-25.51020408163265,-50.0,45,9.127489605094297e-07
-25.51020408163265,-50.0,50,8.797240457696315e-07
-25.51020408163265,-50.0,55,8.435871073862647e-07
-25.51020408163265,-50.0,60,8.059655436653565e-07
-25.51020408163265,-50.0,65,7.679606468917794e-07
-25.51020408163265,-50.0,70,7.303232601019314e-07
-25.51020408163265,-50.0,75,6.935631438380196e-07
-25.51020408163265,-50.0,80,6.580199807292489e-07
-23.46938775510204,-50.0,10,5.173910014673324e-07
-23.46938775510204,-50.0,15,7.533955506697471e-07
-23.46938775510204,-50.0,20,8.883029917540519e-07
-23.46938775510204,-50.0,25,9.545734298798464e-07
-23.46938775510204,-50.0,30,9.78250580081594e-07
-23.46938775510204,-50.0,35,9.758216950399557e-07
-23.46938775510204,-50.0,40,9.573704938364757e-07
-23.46938775510204,-50.0,45,9.291387651178254e-07
-23.46938775510204,-50.0,50,8.950871270730927e-07
-23.46938775510204,-50.0,55,8.577949103718616e-07
-23.46938775510204,-50.0,60,8.189786987081224e-07
-23.46938775510204,-50.0,65,7.797972759526498e-07
-23.46938775510204,-50.0,70,7.410366074002362e-07
-23.46938775510204,-50.0,75,7.032262249282963e-07
-23.46938775510204,-50.0,80,6.667152965090415e-07
-21.428571428571427,-50.0,10,5.216761374430183e-07
-21.428571428571427,-50.0,15,7.614358555604391e-07
-21.428571428571427,-50.0,20,8.997073893892457e-07
-21.428571428571427,-50.0,25,9.68400539356625e-07
-21.428571428571427,-50.0,30,9.93465606695767e-07
-21.428571428571427,-50.0,35,9.91540144057747e-07
-21.428571428571427,-50.0,40,9.729336677131487e-07
-21.428571428571427,-50.0,45,9.441026760654086e-07
-21.428571428571427,-50.0,50,9.091805809812492e-07
-21.428571428571427,-50.0,55,8.70874028220677e-07
-21.428571428571427,-50.0,60,8.309880883536722e-07
-21.428571428571427,-50.0,65,7.907401141122599e-07
-21.428571428571427,-50.0,70,7.509528439570893e-07
-21.428571428571427,-50.0,75,7.121772761948469e-07
-21.428571428571427,-50.0,80,6.747736034036189e-07
-19.387755102040817,-50.0,10,5.252473772061737e-07
-19.387755102040817,-50.0,15,7.682370042262255e-07
-19.387755102040817,-50.0,20,9.095077746478884e-07
-19.387755102040817,-50.0,25,9.804584520642377e-07
